item_id,name,cuisine
1o2Lx_YMC2xpuBG2q00LAQ,Firelight Buffet,buffets
OK62swud0UWKwF3ivxHZNA,Little Caesar's Pizza,pizza
4MWD2Ka5riz9nu80NOqUkQ,Panda Express,chinese
56Ulj9IFRp5Pz8ufJSHXBg,PT's,american (new)
94twCOpyD7FI3i95oiXnmQ,Panda Express,chinese
qtUpdBKkMxeqcK_g5TiZKQ,Pizza Hut,pizza
3MIy-ca6QVtKWXNzerQxWw,Grape Street,italian
s3u1ET2VN9NkY0qsn9gSwQ,Rubio's Fresh Mexican Grill,mexican
f2IKG29s2pEY1wUAIjFIlA,McDonald's,fast food
jsO9c15l1KJ5ncBid3pnmA,Roadrunner Saloon,american (traditional)
MIYdMxSFC53wnQYm9iYteA,Taco Bell,tex-mex
vOfvVZQZ1N_iaq4yPois4Q,Chuck E Cheese's,pizza
8YN0_08op4_chO3GTOUJLQ,Jimmy John's,sandwiches
PDrn1ShvACVge3X-Q24I1g,Port of Subs,sandwiches
3Wg1LVOommgixgqwk-gn8w,Beach Pizza,pizza
O6MyV5uqwZabD5dKbT294Q,Northside Nathan's,sandwiches
nAfwI6ygLXLH_LGQH9GbmA,Beano's Casino,chicken wings
LlAFlTGHWVds8xQS-ly9Bg,Roberto's Taco Shop,mexican
VYCbveCk-j4UR_aSTuASJA,Village Pub & Casino,
S9jqNbEHIsOf2JTJ-yIe0w,Burger King,fast food
YzdGufP7VFwQneDKzb37hQ,Arbys,sandwiches
1dk07edqr5_7goS6AnXAjw,Red Rock Pizza,pizza
tGx7BSyqWDeppMvt2aQw_A,Steiner's Nevada Style Pub,american (traditional)
ZBVXf0uC7k8iKDYCIMa2tQ,Omelet House,american (traditional)
kfhlEFpZlKIfInAC5XDuxw,Del Taco,mexican
fgDJP-wW_Fr_tD2ywkHEJA,Wendy's Old Fashioned Hamburgers,hot dogs
QnTdvqfbbX0d0LjV_y_6_w,Dairy Queen,fast food
HNmyXUXKSr3JI2yXuU7EMQ,Diamond China 2,chinese
XcR-GFhRoHyoJFBE9r1hIQ,World Buffet,buffets
noNwSURKeBMLD6Dfv1cpKw,Marc's Authentic Italian,italian
bpGFetX8muk0GxAT3Oea3Q,Yummy Grill & Sushi,japanese
KM3O4Fs29fCyI5sqo62PgQ,Quiznos Subs,sandwiches
VHCYxuMllRr0U9lbnBMuyA,Charlie's Down Under,american (traditional)
lqx--hrRwe0oK6WnFYNXlg,Marché Bacchus,french
7hOWdXrR7ndiSaFH7Ofi1A,Wienerschnitzel,
hHtnI48vIcL0ZJfc-_LYDA,Jack In the Box,fast food
a8n9OkEQGQvKHWPv93OC2Q,Baja Fresh Mexican Grill,mexican
uwy_04v5iVHOWb8U845wug,Subway,sandwiches
_2HFbrYZFp2p59hptZeDbw,Subway,sandwiches
8FPi95ZuJHF30N-einyEmw,Samurai Sam's Teriyaki Grill,japanese
C_7XW_kw9JtFkE8dzI7BiQ,Round Table Pizza,pizza
Su2-lf8TbowpHZcS3XIRfQ,Taco Bell,tex-mex
W3z8TV-MZIYkWgfN6cyJPg,Sonic Drive-In,fast food
p9chyHwl6KJ5B6C935hRSw,Dimas Tacos,mexican
ox2rL_UzIkvwMHIZC72DHw,Roberto's Taco Shop #22,mexican
Klkzp8MC1qSKZDkTLYkcQA,Quiznos,sandwiches
tCpPBS3txiz9dzm5trJusQ,Baja Fresh Mexican Grill,mexican
Xh72J-rep2vkskAq1TCMeQ,McDonald's,fast food
rdFoHyN4apsyelq_9khE_g,Memphis Championship Barbecue,barbeque
P1BK2ke-N4XLsBSNWpSeLQ,Baba's Tsi-bugan Restaurant,filipino
2FurIZ1RmC9HndCQJAZJKA,Jack in the Box,fast food
3Nt3CA4IDxt0SeQO24gb-Q,Bob Taylor's Ranch House,steakhouses
aidjBZ-cLeRmrsAPM6ZkcA,Big Dog's Draft House,american (traditional)
3BBqVbU_Z-kCcUfV3xIUYQ,Cheyenne Saloon,
pPoBiFyTjwPSg3R2Q3AeVQ,Kerry's Sports Pub Pizza & Grille,pizza
gtlAwb0eZ4rPWjv_42OUCA,McDonald's,fast food
ibUy5WjSFnrFyWZKgzk6xQ,Santa Fe Mining Company,american (traditional)
cc2GmqotftMW6B4K1PhQ-w,KFC,fast food
nqUg5UdPVwNABqaM4iuXsw,Little Caesars Pizza,italian
7tF__YC7VkQs671ZtsYrgw,Great China,chinese
TUxCIJ6Jj2lEOqoVIoUH4g,Grand China Fine Chinese Cuisine,chinese
IUNrEkrbBTd2xbEHC4mutQ,Papa Murphys Take and Bake Pizza,pizza
h0BHOYLztdLqWNI-h4hwOw,Fatburger,fast food
RR25EwdiL1TfH_bIaKvt7w,Wendy's Old Fashioned Hamburgers,hot dogs
d2aQXdVOTwjVGZaXBXeIgg,Domino's Pizza,chicken wings
R1_6Crx6keOZ23AWk1vOuw,Panda Express,chinese
LTHq7A5vVAwtqqu5i2ZLUQ,El Burrito Mexican Restaurant,mexican
k2CdgSzyVR7b-L75tfXHUA,Taco Bell,tex-mex
ivi5jHjmf2uV8faGJ9Rfig,Sultan's Grill,mediterranean
yhrTMjhnrCsqDR_tJfyLCQ,Jack in the Box,fast food
-CIZh4JOZuOEbSzLVrAIGw,Sunrise Casablanca,
KLRHYLnVch4x2bJXK9hmAQ,Sonic Drive-In,fast food
BpEFRLfOIpwd06y-xEm88w,Burger King,fast food
B3eO8HjT8APDNLW6PSx5lA,Ruby Tuesday,
wv-U4BHulKC0OxjkP5zPqw,Fazoli's Italian Restaurant,italian
1MJ5xmHmeCiau07X2bQyUQ,KJ Kitchen,chinese
T4AyBSffvi3prLrw0H2enA,Prommares Thai Food,thai
_ZyJLAlkmqefU0WXQ2o6jQ,Sammy's Woodfired Pizza and Grill,gluten-free
3DHwRjWomOtnxM1v6-bPEQ,Sushi On Rainbow,japanese
KJnVuzpveyDrHARVNZaYVg,Hooters Casino Hotel,american (new)
33aOj9haiHsULCUmFOZ7uQ,Pho Saigon 8,vietnamese
rExmZxKkcO0VfOVMo-w66g,Fiesta Filipina,filipino
1zgwmE26LtJH5C1mD6MQpw,Arby's Roast Beef Sandwich Restaurants,sandwiches
R_os9qwoga12ksSzAwZdoA,Kopper Keg Restaurant & Lounge,american (traditional)
O1NBNVfXWmk3CvszAhOEoQ,Rincon De Buenos Aires,argentine
VGfxLCiUYKjE-LreN6r50A,McDonald's,fast food
1syMfUAu8so1wjntLW8Y8Q,HoneyBaked,sandwiches
QDLYkhj0yS47Qgziw1DDHA,Polish Deli,salad
kr9gePdA-ds4ltXLlH3M_A,Original Pancake House,breakfast & brunch
ME0olHUKPsJ9spaLudZlYA,Buffet Asia,chinese
YTbSJITWKp_QgfY2vrXvSQ,Que Huong Restaurant,vietnamese
AqE6eArwtYYO-iazkL37yQ,Popeyes Chicken & Biscuits,fast food
jOMTNCPSiUIdToLtc5y4Fw,Mr D's Sportsbar & Grill,american (traditional)
y4oY9fiyTgkcewPGP3OGXQ,Pizza Hut,pizza
zcZP9NIFwo16JTN5estcsg,Wendys,hot dogs
gwAIppG7JZRmqnV7ywmJxQ,Taco Bell,tex-mex
rmna5Vh8PnfHsmwx1p4GYg,Winchells Donuts,sandwiches
gj_8sI7cjD_1pH6gPBcNRg,McDonald's,burgers
zN33MhQmlCB3yhlunL4M9Q,Jack in the Box,fast food
3ZVFdP5Xp9JZAKQkT98kDQ,Dairy Queen,fast food
S4nbHSW29N0rcXkIlA-wbQ,Sonic Drive-In,fast food
ZqJQSSmHtoAx0O_SGz3piQ,Sushi Yamaguchi,japanese
G2AqHSVc8t6I21qiHeq7jA,The Tap House,italian
_MuHx0aYUfLbNzkqJ2uBWg,Fatburger,fast food
7Mgly28cnzY-2py2ClEjiA,New York Pizza & Pasta,pizza
tJhh6NDsNIwWMpxlP-0F7g,Blue Ox Tavern,american (traditional)
8871Si56d_dc0igE3TRpgA,Roma Deli & Restaurant,italian
5geSNRVBlvhoJlRK1zAS0g,Marnee Thai Restaurant,thai
ZBC-1VWUU5WpKlPokxJZZg,Subway,sandwiches
gSTHZH478BJIKAx7IKD2sA,Burger King,hot dogs
Xnwjo2TUu4AyGdmsxeG7OQ,Cathay House Restaurant,chinese
POdn5abX1-lW0qns9cDd_A,Maui Rose Hawaiian Bbq,hawaiian
WospRNxNAnsHcC5o6xPI2A,Wienerschnitzel,hot dogs
uEZWVN-ehk_XyDh0Dujh0w,Schlotzsky's Deli,sandwiches
uybZVwl43IwaKAeRqkb3Zg,Tacos El Compita,mexican
3YLo7L0_1_Hy9SIuDrDceg,Gyro Time Restaurant,mediterranean
4sTUCAAzenGzgG2w7ry1zQ,Farm Basket,fast food
s84xnG8SvqI6EIjF3Za-UQ,Panda Express,chinese
ubwHoadNnVfMB9dFV2uyTQ,Nevada Chicken Cafe,barbeque
9zUwgCWOi3rDvyoeDdx5pg,Burger King,fast food
X4G7Zr-7fOr1bBP4iiONuw,The Lodge At Fort Apache,american (traditional)
ZygV0bo1lfQ1ZRnVc0Uwlw,Panera Bread,salad
t02b8iqce8ZU4y6tpBQXSg,Panda Express,chinese
2gWBfd2t7ta7lBaNZPfX5Q,Fazoli's 5268,italian
8kmIIK2YE6Rcg3HaDVha3w,The Range Steakhouse,steakhouses
RKI9xvPSuI6mWXMjfdnjXw,Mandarin Express,chinese
nV79jhp3QzgSwV49bRTxiA,PT's,american (new)
wAu9-jVLS-ygIPr4t8iCEA,Rubalcabas Taco Shop,mexican
JBtHmLIXJprdHV2xMa0KKQ,Mama Maria's Mexican Restaurant,mexican
I2rMZ5t1WliK5PaGxakBUA,Jack in the Box,fast food
htsJHl2YcqwPfIbQkXrXrg,Timbers - Horizon Ridge,american (traditional)
tJvUgjY7dJhCunOC10tKpg,McDonald's,fast food
2X79qKO11V2ALh32WtOIxA,Seoul Market,korean
smoGuW2a2Nume83mB3JJSw,Applebee's Neighborhood Grill & Bar,american (new)
aX3dNl6iDh4FaSw7-ipvQw,Papa John's Pizza,pizza
yRnl7MxYk1z18UW-g18clA,Pump N Snack,fast food
vvur3WRgdgnhYoMUXMZZCA,Aloha Specialties Restaurant,hawaiian
Q5pTGQKEhxgit1fwgrHEbg,Binion's Hotel & Casino,american (new)
CM4LY-sjD0Q9HivGTFHdoA,Chicago Joes,italian
JrF5GbCfN-KG9zl_IwNf0w,Strip Sandwich Shop,delis
XC9tnUvXARu6XjRxO6u8DQ,Dona Maria Tamales Restaurant,mexican
TS7WJefIj-Yzmjw0A81UWA,Mariscos El Mariachi,mexican
wqOSESjr7ioLSAUOzzhqoQ,El Sombrero Cafe,mexican
zRDru1Ew3aSZHMB99iv-bw,El Gaucho Lucas Cafe,breakfast & brunch
s8NoNszuW8_CSFQjLApRuQ,Uncle Joe's Pizza,pizza
7kSj36mgMGaqAlRJcjexFg,Salvadoreno Restaurant,latin american
foDMwBRGJvKw791v0AT7OA,Hugo's Cellar,american (traditional)
a3HmtiW3WzUvKxWy9Fezkg,Andre's,french
CfdCsVkzzM3uJKGRzA0ufA,Tony Roma's,american (traditional)
kE7hkm4gn8dHvGFwqy6foQ,Second Street Grill,american (new)
QLuWutuU6jHOGZgUWBWQQg,Carson Street Cafe,american (traditional)
15JT2xhzP_R96mT6rK882A,La Bayou Casino,american (new)
NI6HbJtkRSwzcaSxMaSSwg,Las Vegas Jerkys,hawaiian
cMBZ46gNJPYY7zkxDb1piw,Garden Court Buffet,buffets
tcSgN0K3KhgVSSmHOLSWjQ,Cook On Wok Chinese Cuisine,chinese
uAs3NRyyK9n89RjdXMH83Q,Mamacita's Restaurant,mexican
qjTsleuff7mJHp2qMVGMwA,Piccadilly Pizza Fremont,pizza
Du3ESDGEGz65P3i6CnhAQA,El Tenampa,mexican
e9TeHrdVJe-NaAaEXWapfQ,Los Molcajetes,mexican
NE4Q42OVJdlibncRXtJXvw,La Palapa,mexican
rDzvwiusMr5MMZxXo1GfMw,Roberto's Taco Shop,mexican
TN3FpaIIX9j8EOydMvYOvw,Subway,sandwiches
c35VyrGF38BHVjtMxA-zHw,Del Taco,mexican
QW22Xgl6_VEtP-YmUAw3Wg,Pho Huong Saigon,vietnamese
j_VWgqq3k5kEhOUK0wk2Iw,Taco Bell,tex-mex
7VDrYNPhDKFURZbK4MRi8w,Red Shrimp Company,chinese
bj9tSJyT-v51KVekGOG77A,My Buddy's Greek Cafe,cafes
XvULjGguZSsuwRfQLcbdfQ,Little Caesars Pizza,pizza
93zReBgrXHZxsONq6JtEzQ,Tasty Island Carribean Food & Deli,caribbean
5h3pG3cq0eNNErp27V6zRg,Thai BBQ,thai
ll8SKTQKqajLeLi64-93Qw,Byblos Cafe & Pastries,middle eastern
gV2v2jr4IEfYBTNe3TwCrg,Milano's Pizza,pizza
RbMQbzxXAbrcABVxjyr87w,Capriotti's,sandwiches
RquV0ktcUiQkLP6o1ojJbQ,Jack In the Box,fast food
x3mVrFxyjNXQ7JNqGpw4qQ,Josette's Bistro,french
